Transaction_ID,Sender,Receiver,Amount,Timestamp,Is_Fraud
1a245841-c8a,f2991971,9ae84c45,3558.64,2024-12-10 18:36:36,False
68089918-8e4,f846f206,601dc152,1116.57,2024-05-17 22:53:37,False
5110c652-e2a,b5b970fc,14a85211,982.23,2024-04-23 21:50:49,False
37083ae6-fe7,1d70fb33,b5b970fc,2376.61,2024-04-19 07:31:11,False
4d0df2d2-0ce,bda321f6,bd12a709,4193.57,2024-10-27 13:09:35,False
1ba3f21c-540,d6d4fed8,69854e7b,3627.41,2024-08-06 12:33:38,False
124f20b9-bff,5abc0d83,923214e0,1942.82,2024-09-01 11:20:17,False
921e2d50-9e6,a73fa5f6,77b2b8a4,2008.95,2024-02-20 15:11:36,False
4f621e72-c90,bb31ea39,1db88653,2960.38,2024-08-13 12:45:41,False
2bf72cd3-8d8,fd583b2b,234b3e8c,3394.86,2024-02-12 05:38:03,False
1ccdfcd0-3dd,01f93b52,60f7a123,3870.4,2024-03-19 01:50:05,False
85e47b2f-55c,b5717d70,29cc45b1,2037.05,2024-09-25 02:31:29,False
8b7d0d63-0eb,2ce28e99,5c7ff516,2828.53,2024-11-03 22:43:31,True
ab54405f-20d,913d7c8d,0cd46d16,4871.56,2024-08-11 06:40:33,False
d62ad1c0-550,34a60a6e,87dc7fd7,1022.87,2024-05-05 13:58:50,True
e74135c6-e77,38f2b430,c8187406,3894.53,2024-10-01 19:59:35,False
144e8a71-24a,6554195b,a35988c9,1268.36,2024-05-06 17:33:26,False
ed8eb9c5-a90,ac34bc66,9c3b1ce4,1220.03,2024-07-13 13:35:34,False
c3f78319-d7a,7d634f4f,77945531,2239.13,2024-05-29 03:56:52,False
297b7526-07a,8c405ecf,4c79e809,67.87,2024-12-29 08:23:32,True
e23f4417-de9,38f2b430,ec7bb73f,4862.44,2024-08-28 03:35:53,False
45169a04-a9e,74dae165,09893e55,2452.91,2024-12-30 03:51:58,False
3eac508d-84c,38f2b430,3deaed52,3923.32,2024-02-03 18:13:13,False
a27d3717-b18,3e1d0d11,0dea2766,2043.5,2024-07-03 19:35:15,False
31b726e5-209,1d640174,77945531,4580.06,2024-08-18 23:27:51,False
80c0ac4f-406,b393486c,23a9bfde,1815.65,2024-01-30 10:37:50,False
87ffe84e-07a,2ce28e99,88e7192c,1756.41,2024-04-03 00:27:52,False
21dfde19-f6b,79052cda,38f2b430,3574.23,2024-01-31 12:26:33,False
a1dc142d-335,c98f6fbb,82555a8b,3721.75,2024-08-09 03:51:52,False
9b64cd97-bc8,4c2a1750,98e6a3ad,3326.31,2024-07-24 01:26:59,False
5d8640cf-7b8,f95ce0ff,ddd53de7,62.59,2024-06-03 04:23:16,False
dc7b9780-509,6c253140,b5e4b439,3390.2,2024-07-16 02:34:35,False
bdef2a42-cbd,4e0679b1,64164cce,3376.22,2024-12-18 19:06:10,False
e6f2954b-d20,2d1fc821,d94cb75a,3954.02,2024-08-18 01:38:24,False
339a8f1a-1a6,25741254,afc8e22d,2072.22,2024-05-16 00:03:18,False
f898ff9a-3bf,64164cce,b5b970fc,2490.29,2024-08-17 21:29:32,False
2d9a7284-b00,5bca7693,9392063f,3519.75,2024-09-03 00:23:04,False
